2025-04-22 23:34:43,052 INFO    MainThread:39655 [wandb_setup.py:_flush():68] Current SDK version is 0.19.10
2025-04-22 23:34:43,053 INFO    MainThread:39655 [wandb_setup.py:_flush():68] Configure stats pid to 39655
2025-04-22 23:34:43,053 INFO    MainThread:39655 [wandb_setup.py:_flush():68] Loading settings from /Users/calebbradshaw/.config/wandb/settings
2025-04-22 23:34:43,053 INFO    MainThread:39655 [wandb_setup.py:_flush():68] Loading settings from /Users/calebbradshaw/PycharmProjects/photochrom-ai/training/wandb/settings
2025-04-22 23:34:43,053 INFO    MainThread:39655 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-04-22 23:34:43,053 INFO    MainThread:39655 [wandb_init.py:setup_run_log_directory():724] Logging user logs to ./wandb/run-20250422_233443-pcn78cnz/logs/debug.log
2025-04-22 23:34:43,053 INFO    MainThread:39655 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to ./wandb/run-20250422_233443-pcn78cnz/logs/debug-internal.log
2025-04-22 23:34:43,053 INFO    MainThread:39655 [wandb_init.py:init():852] calling init triggers
2025-04-22 23:34:43,053 INFO    MainThread:39655 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-04-22 23:34:43,053 INFO    MainThread:39655 [wandb_init.py:init():893] starting backend
2025-04-22 23:34:43,053 INFO    MainThread:39655 [wandb_init.py:init():897] sending inform_init request
2025-04-22 23:34:43,081 INFO    MainThread:39655 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-04-22 23:34:43,081 INFO    MainThread:39655 [wandb_init.py:init():907] backend started and connected
2025-04-22 23:34:43,085 INFO    MainThread:39655 [wandb_init.py:init():1002] updated telemetry
2025-04-22 23:34:43,087 INFO    MainThread:39655 [wandb_init.py:init():1026] communicating run to backend with 90.0 second timeout
2025-04-22 23:34:43,984 INFO    MainThread:39655 [wandb_init.py:init():1101] starting run threads in backend
2025-04-22 23:34:44,090 INFO    MainThread:39655 [wandb_run.py:_console_start():2566] atexit reg
2025-04-22 23:34:44,090 INFO    MainThread:39655 [wandb_run.py:_redirect():2414] redirect: wrap_raw
2025-04-22 23:34:44,090 INFO    MainThread:39655 [wandb_run.py:_redirect():2483] Wrapping output streams.
2025-04-22 23:34:44,090 INFO    MainThread:39655 [wandb_run.py:_redirect():2506] Redirects installed.
2025-04-22 23:34:44,091 INFO    MainThread:39655 [wandb_init.py:init():1147] run started, returning control to user process
2025-04-22 23:34:44,109 INFO    MainThread:39655 [wandb_run.py:_config_callback():1429] config_cb None None {'lr': 0.0001}
2025-04-22 23:34:44,307 INFO    MsgRouterThr:39655 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
